timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733359417025,800,GET Request,200,,Teste de Carga e Desempenho 1-239,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,793,0,1
1733359417023,802,GET Request,200,,Teste de Carga e Desempenho 1-236,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,793,0,0
1733359417024,802,GET Request,200,,Teste de Carga e Desempenho 1-238,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,794,0,1
1733359417026,801,GET Request,200,,Teste de Carga e Desempenho 1-241,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,791,0,1
1733359417026,803,GET Request,200,,Teste de Carga e Desempenho 1-240,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,795,0,1
1733359417027,808,GET Request,200,,Teste de Carga e Desempenho 1-242,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,800,0,1
1733359417040,796,POST Request,200,,Teste de Carga e Desempenho 1-45,text,true,,226,296,993,993,http://localhost:8080/usuarios,796,0,0
1733359417040,796,POST Request,200,,Teste de Carga e Desempenho 1-43,text,true,,226,296,993,993,http://localhost:8080/usuarios,796,0,0
1733359417248,588,POST Request,200,,Teste de Carga e Desempenho 1-91,text,true,,226,296,993,993,http://localhost:8080/usuarios,588,0,0
1733359417040,797,PUT Request,200,,Teste de Carga e Desempenho 1-9,text,true,,225,263,993,993,http://localhost:8080/usuarios/1,797,0,0
1733359417040,797,PUT Request,200,,Teste de Carga e Desempenho 1-8,text,true,,225,263,992,992,http://localhost:8080/usuarios/1,797,0,0
1733359417029,808,GET Request,200,,Teste de Carga e Desempenho 1-243,text,true,,1090379,124,992,992,http://localhost:8080/usuarios,800,0,1
1733359417040,797,POST Request,200,,Teste de Carga e Desempenho 1-42,text,true,,226,296,991,991,http://localhost:8080/usuarios,797,0,0
1733359417040,797,POST Request,200,,Teste de Carga e Desempenho 1-39,text,true,,226,296,991,991,http://localhost:8080/usuarios,797,0,0
1733359417040,797,POST Request,200,,Teste de Carga e Desempenho 1-37,text,true,,226,296,991,991,http://localhost:8080/usuarios,797,0,0
1733359417040,797,POST Request,200,,Teste de Carga e Desempenho 1-38,text,true,,226,296,991,991,http://localhost:8080/usuarios,797,0,0
1733359417029,809,GET Request,200,,Teste de Carga e Desempenho 1-244,text,true,,1090379,124,991,991,http://localhost:8080/usuarios,801,0,1
1733359417040,798,POST Request,200,,Teste de Carga e Desempenho 1-41,text,true,,226,296,991,991,http://localhost:8080/usuarios,798,0,0
1733359417032,809,GET Request,200,,Teste de Carga e Desempenho 1-245,text,true,,1090379,124,991,991,http://localhost:8080/usuarios,800,0,0
1733359417032,815,GET Request,200,,Teste de Carga e Desempenho 1-246,text,true,,1090379,124,991,991,http://localhost:8080/usuarios,806,0,1
1733359417044,805,PUT Request,200,,Teste de Carga e Desempenho 1-7,text,true,,225,263,991,991,http://localhost:8080/usuarios/1,805,0,0
1733359417036,815,GET Request,200,,Teste de Carga e Desempenho 1-249,text,true,,1090379,124,990,990,http://localhost:8080/usuarios,806,0,0
1733359417036,816,GET Request,200,,Teste de Carga e Desempenho 1-250,text,true,,1090379,124,990,990,http://localhost:8080/usuarios,806,0,0
1733359417032,821,GET Request,200,,Teste de Carga e Desempenho 1-247,text,true,,1090379,124,990,990,http://localhost:8080/usuarios,810,0,1
1733359417035,818,GET Request,200,,Teste de Carga e Desempenho 1-248,text,true,,1090379,124,990,990,http://localhost:8080/usuarios,807,0,1
1733359417037,817,GET Request,200,,Teste de Carga e Desempenho 1-251,text,true,,1090379,124,990,990,http://localhost:8080/usuarios,807,0,0
1733359417039,821,GET Request,200,,Teste de Carga e Desempenho 1-253,text,true,,1090379,124,990,990,http://localhost:8080/usuarios,811,0,0
1733359417054,824,POST Request,200,,Teste de Carga e Desempenho 1-40,text,true,,226,296,990,990,http://localhost:8080/usuarios,824,0,0
1733359417054,825,POST Request,200,,Teste de Carga e Desempenho 1-47,text,true,,226,296,990,990,http://localhost:8080/usuarios,825,0,0
1733359417039,840,GET Request,200,,Teste de Carga e Desempenho 1-252,text,true,,1090379,124,990,990,http://localhost:8080/usuarios,815,0,0
1733359417040,842,GET Request,200,,Teste de Carga e Desempenho 1-254,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,818,0,1
1733359417040,845,GET Request,200,,Teste de Carga e Desempenho 1-255,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,838,0,1
1733359417042,848,GET Request,200,,Teste de Carga e Desempenho 1-256,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,840,0,1
1733359417045,847,GET Request,200,,Teste de Carga e Desempenho 1-258,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,839,0,0
1733359417043,850,GET Request,200,,Teste de Carga e Desempenho 1-257,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,841,0,1
1733359417047,847,GET Request,200,,Teste de Carga e Desempenho 1-261,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,839,0,1
1733359417045,850,GET Request,200,,Teste de Carga e Desempenho 1-259,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,840,0,1
1733359417047,850,GET Request,200,,Teste de Carga e Desempenho 1-260,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,840,0,1
1733359417047,854,GET Request,200,,Teste de Carga e Desempenho 1-262,text,true,,1090817,124,990,990,http://localhost:8080/usuarios,847,0,1
1733359417054,851,GET Request,200,,Teste de Carga e Desempenho 1-266,text,true,,1090925,124,990,990,http://localhost:8080/usuarios,844,0,1
1733359417054,855,GET Request,200,,Teste de Carga e Desempenho 1-265,text,true,,1090925,124,990,990,http://localhost:8080/usuarios,847,0,1
1733359417054,857,GET Request,200,,Teste de Carga e Desempenho 1-264,text,true,,1090925,124,990,990,http://localhost:8080/usuarios,849,0,1
1733359417054,859,GET Request,200,,Teste de Carga e Desempenho 1-267,text,true,,1090925,124,990,990,http://localhost:8080/usuarios,851,0,1
1733359417055,861,GET Request,200,,Teste de Carga e Desempenho 1-269,text,true,,1090925,124,990,990,http://localhost:8080/usuarios,852,0,1
1733359417054,862,GET Request,200,,Teste de Carga e Desempenho 1-263,text,true,,1090925,124,990,990,http://localhost:8080/usuarios,854,0,1
